lat,lon,wheelchair
55.8519477,37.6383488,0
55.6587591,37.4306193,1
55.6693137,37.552777,0
55.660414,37.7518664,0
55.6467148,37.7407665,1
55.9105862,37.3951749,1
55.7311448,37.6066611,1
55.6478526,37.735601,1
55.6478462,37.7353274,1
55.8190312,37.3910974,1
55.8189352,37.3920928,1
55.8583406,37.4446606,0
55.6993468,37.500148,1
55.7010877,37.5035386,0
55.7716096,37.4208032,1
55.771256,37.4245243,1
55.6174256,37.5480373,1
55.849607,37.4392454,0
55.8492545,37.4393707,0
55.8057063,37.3968646,1
55.8035681,37.4066437,0
55.8373399,37.6616465,0
55.6867485,37.7363414,1
55.8611048,37.4369677,1
55.8239453,37.497999,1
55.8495905,37.4410906,0
55.8497727,37.4406897,0
55.8514051,37.4385111,0
55.8517565,37.4400033,0
55.8515312,37.4404042,0
55.8516443,37.4388279,0
55.7213696,37.6095997,1
55.6020379,37.5527792,1
55.8785788,37.4336644,1
55.7901142,37.6649548,1
55.7910035,37.6647109,1
55.8640061,37.4366917,0
55.861109,37.4516668,0
55.8061817,37.5814157,0
55.7031586,37.7582418,1
55.789568,37.6656754,1
55.7615712,37.5749058,0
55.8241427,37.4968431,1
55.6439374,37.7403375,0
55.6847213,37.5432,0
55.7846515,37.6604098,1
55.8970116,37.632092,1
55.7913219,37.6710054,0
55.8627089,37.5993321,1
55.6406287,37.5242634,1
55.8428709,37.547492,1
55.8627995,37.436373,0
55.6186442,37.5064185,1
55.7711045,37.6818815,1
55.8413997,37.5364387,1
55.6191327,37.5070793,1
55.6532579,37.8439855,1
55.8490196,37.4590119,0
55.8107,37.3923,1
55.6438099,37.4098344,0
55.8181157,37.4000178,1
55.8052587,37.4146474,1
55.8235903,37.3852416,1
55.7724715,37.6813219,0
55.6821671,37.5667843,0
55.7973105,37.7180859,0
55.7973036,37.7201874,1
55.7971346,37.7190545,1
55.7963271,37.7138931,1
55.796228,37.7133376,0
55.7960658,37.7175932,1
55.7969136,37.7170384,0
55.7968311,37.7165779,0
55.795254,37.7148676,1
55.795962,37.7170139,0
55.7952018,37.7141741,1
55.7955691,37.7148422,1
55.7963574,37.7174263,0
55.7958907,37.7134975,0
55.6314727,37.4787179,0
55.6175484,37.5077608,1
55.8059737,37.7259152,0
55.81349,37.7351292,0
55.813253,37.7351473,0
55.8393273,37.6518421,0
55.650826,37.7160038,1
55.7558005,37.6168756,1
55.6050979,37.7489531,1
55.609281,37.7585741,1
55.6491512,37.6061067,0
55.749604,37.7109316,1
55.5966684,37.6634424,1
55.6068666,37.5314797,1
55.6065189,37.5331425,1
55.6589561,37.4027403,0
55.6586774,37.4007936,0
55.8996238,37.4555051,1
55.643555,37.5265598,0
55.643422,37.5272035,0
55.6453278,37.5211419,1
55.6534287,37.6002674,1
55.653424,37.5995819,1
55.6529776,37.6004434,1
55.6529751,37.5997697,1
55.6524682,37.5965904,1
55.6417207,37.6048739,0
55.6419232,37.6052384,0
55.6402898,37.6058854,0
55.8235174,37.8076079,1
55.8227104,37.8236975,1
55.8164859,37.811319,1
55.8156003,37.7974934,1
55.8170981,37.8192144,1
55.86838,37.43879,1
55.8694,37.43989,1
55.6448446,37.5258055,1
55.6189658,37.5066885,1
55.7364456,37.5158803,0
55.7351492,37.5178934,1
55.6476531,37.392901,0
55.6460612,37.4064475,1
55.6481871,37.4075355,0
55.8600218,37.6449382,1
55.6476392,37.3925893,0
55.6480729,37.3921477,0
55.7765136,37.6877634,1
55.8508437,37.4099184,1
55.6575283,37.4077253,0
55.6586863,37.408127,0
55.6589202,37.4094278,0
55.7566327,37.6295145,0
55.7573341,37.6317405,0
55.8225308,37.4969429,1
55.8226634,37.4969428,1
55.8227659,37.4969321,1
55.8228734,37.4969333,1
55.8230092,37.4969281,1
55.823797,37.4975998,1
55.823934,37.4968705,1
55.8594886,37.4375185,0
55.6538764,37.3858728,1
55.6546083,37.3851319,1
55.8499326,37.4244894,0
55.850284,37.4276975,1
55.8674251,37.4892615,1
55.8000355,37.4074419,1
55.8088028,37.493539,1
55.8442823,37.4577949,0
55.8408246,37.4874389,0
55.6516601,37.3976096,1
55.6515567,37.3979641,0
55.649611,37.407772,0
55.6496112,37.4074085,1
55.6497568,37.4082079,0
55.8094935,37.4638487,1
55.7934597,37.8200263,0
55.6499222,37.408813,0
55.8700359,37.6351461,0
55.8367389,37.4422898,0
55.8639454,37.4700592,1
55.8439486,37.4388242,0
55.8488372,37.4276929,0
55.6513386,37.3986095,1
55.8464648,37.3584128,1
55.8462378,37.3577058,1
55.8461323,37.3579125,1
55.6570578,37.4066882,0
55.8020158,37.7104333,0
55.77103,37.6793025,0
55.7714124,37.6790174,0
55.8029192,37.4051777,0
55.8044647,37.4018952,1
55.8038301,37.4047807,0
55.8037277,37.4014132,0
55.8036342,37.4056841,0
55.7975476,37.7226287,0
55.8357449,37.3863072,1
55.6480474,37.6062261,0
55.6629048,37.5537671,1
55.6525767,37.3969366,0
55.7276734,37.6375511,0
55.727869,37.6375204,0
55.6850491,37.5555188,0
55.6389102,37.694915,0
55.6384607,37.6660894,0
55.7165577,37.4592348,0
55.6514589,37.4128157,1
55.8281643,37.4380991,0
55.8253875,37.4369714,0
55.8688025,37.4450535,1
55.7056714,37.6560192,1
55.6840945,37.6227856,0
55.6122238,37.7181004,1
